,ADM1,ADM2,ADM3,Pop,Mã,Tên Tiếng Anh,Cấp,Mã QH,Mã TP,lat,lon,most_similar,level,most_similar_d,lat_m,lon_m,closest_distance
0,Thành phố Hà Nội,Quận Ba Đình,Phúc Xá,21946,1.0,,Phường,1.0,1.0,21.0456942,105.8482503,5282,Rất tốt,5.556097299954591e-07,21.0464,105.84849,82.32930171371548
1,Thành phố Hà Nội,Quận Ba Đình,Trúc Bạch,7065,4.0,,Phường,1.0,1.0,21.0460498,105.8418932,5327,Rất tốt,3.171918280013358e-06,21.04564,105.84016,185.5494626098904
2,Thành phố Hà Nội,Quận Ba Đình,Vĩnh Phúc,23867,6.0,Vinh Phuc Commune,Phường,1.0,1.0,21.0421695,105.8101415,5281,Rất tốt,5.4495722499994754e-05,21.0348,105.80971,820.6737514459951
3,Thành phố Hà Nội,Quận Ba Đình,Cống Vị,15979,7.0,,Phường,1.0,1.0,21.0350399,105.8101844,5281,Rất tốt,2.826073700017604e-07,21.0348,105.80971,55.99768229635228
4,Thành phố Hà Nội,Quận Ba Đình,Liễu Giai,21084,8.0,Lieu Giai Commune,Phường,1.0,1.0,21.0375836,105.8174205,5323,Rất tốt,1.2793552100047776e-06,21.03762,105.81629,117.396738510811
5,Thành phố Hà Nội,Quận Ba Đình,Nguyễn Trung Trực,7705,10.0,,Phường,1.0,1.0,21.0419431,105.8472242,5328,Rất tốt,3.541239249999994e-06,21.0422,105.84536,195.5644531774947
6,Thành phố Hà Nội,Quận Ba Đình,Quán Thánh,7923,13.0,,Phường,1.0,1.0,21.0415304,105.8414121,5328,Rất tốt,1.6034278570002626e-05,21.0422,105.84536,416.4244907161301
7,Thành phố Hà Nội,Quận Ba Đình,Ngọc Hà,19357,16.0,,Phường,1.0,1.0,21.0385,105.8250869,5324,Rất tốt,4.056851609981093e-06,21.03787,105.827,210.54281516998955
8,Thành phố Hà Nội,Quận Ba Đình,Điện Biên,8912,19.0,,Phường,1.0,1.0,21.0323562,105.8365906,5326,Rất tốt,8.520868000163312e-07,21.0328,105.8374,97.42737000200006
9,Thành phố Hà Nội,Quận Ba Đình,Đội Cấn,14375,22.0,,Phường,1.0,1.0,21.0346472,105.8266045,5325,Rất tốt,1.7553808999993293e-07,21.0343,105.82637,45.637853767640834
10,Thành phố Hà Nội,Quận Ba Đình,Ngọc Khánh,20363,25.0,,Phường,1.0,1.0,21.0304308,105.8094116118988,5319,Rất tốt,4.606326165050541e-06,21.03029,105.80727,222.82491351838212
11,Thành phố Hà Nội,Quận Ba Đình,Kim Mã,14259,28.0,,Phường,1.0,1.0,21.0314542,105.8249046,5325,Rất tốt,1.0245974800018614e-05,21.0343,105.82637,351.0902065068701
12,Thành phố Hà Nội,Quận Ba Đình,Giảng Võ,17665,31.0,,Phường,1.0,1.0,21.0272288,105.8194542,5322,Rất tốt,4.615331080028905e-06,21.02879,105.82093,231.5126656662766
13,Thành phố Hà Nội,Quận Ba Đình,Thành Công,21393,34.0,,Phường,1.0,1.0,21.0205111,105.8152857,5321,Rất tốt,3.2188297000186984e-06,21.02127,105.81366,188.66352844528168
14,Thành phố Hà Nội,Quận Hoàn Kiếm,Phúc Tân,16856,37.0,,Phường,2.0,1.0,21.0363416,105.855503,5331,Rất tốt,1.703619559991334e-06,21.037,105.85663,137.98728692355348
15,Thành phố Hà Nội,Quận Hoàn Kiếm,Đồng Xuân,9399,40.0,,Phường,2.0,1.0,21.0388537,105.8500621,5330,Rất tốt,8.051881000049272e-07,21.03838,105.8493,95.02682845637456
16,Thành phố Hà Nội,Quận Hoàn Kiếm,Hàng Mã,6971,43.0,,Phường,2.0,1.0,21.0376748,105.846332,5329,Rất tốt,4.514230400077738e-07,21.03756,105.84567,69.88030567984796
